1,escape
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,minus
13,equal
14,delete
15,tab
16,q
17,w
18,e
19,r
20,t
21,y
22,u
23,i
24,o
25,p
26,open_bracket
27,close_bracket
28,return
29,ctrlleft
30,a
31,s
32,d
33,f
34,g
35,h
36,j
37,k
38,l
39,semicolon
40,quote
41,grave
42,shiftleft
43,backslash
44,z
45,x
46,c
47,v
48,b
49,n
50,m
51,comma
52,period
53,slash
54,shiftright
55,num_asterisk
56,alt
57,space
58,ctrll_lock
59,f1
60,f2
61,f3
62,f4
63,f5
64,f6
65,f7
66,f8
67,f9
68,f10
69,num_lock
70,scroll_lock
71,num7
72,num8
73,num9
74,num-
75,num4
76,num5
77,num6
78,num+
79,num1
80,num2
81,num3
82,num0
83,num.
84,last_console
86,less
87,f11
88,f12
96,numenter
97,control
98,numdivide
99,spare
100,alt
101,break
102,find
103,up
104,prior
105,left
106,right
107,select
108,down
109,next
110,insert
111,remove
112,macro
113,f13
114,f14
115,help
116,do
117,f17
118,numminplus
119,pause
121,num.
125,alt
126,alt
